Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Randomise questionnaire elements?,Question Key,Response
1,1616591111115,24/03/2021 13:05:11,1616591110880,2,24/03/2021 15:05:10,47307,12,questionnaire-pgup,,11274313,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x981,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,No,BEGIN QUESTIONNAIRE,
2,1616591133270,24/03/2021 13:05:33,1616591133101,2,24/03/2021 15:05:33,47307,12,questionnaire-pgup,,11274313,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x981,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,No,END QUESTIONNAIRE,22221
1,1616671727062,25/03/2021 11:28:47,1616671726680,0,25/03/2021 11:28:46,47307,12,questionnaire-pgup,,11307974,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,No,BEGIN QUESTIONNAIRE,
2,1616671767699,25/03/2021 11:29:27,1616671767365,0,25/03/2021 11:29:27,47307,12,questionnaire-pgup,,11307974,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,No,END QUESTIONNAIRE,40685
1,1616671914396,25/03/2021 11:31:54,1616671911308,11,25/03/2021 22:31:51,47307,12,questionnaire-pgup,,11308139,6030fb6df25202f8c6b7ddc9,3447897,,complete,,605c63b437d9fdc0944bbaef,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1440x900,1440x826,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,BEGIN QUESTIONNAIRE,
2,1616671918684,25/03/2021 11:31:58,1616671915654,11,25/03/2021 22:31:55,47307,12,questionnaire-pgup,,11308139,6030fb6df25202f8c6b7ddc9,3447897,,complete,,605c63b437d9fdc0944bbaef,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1440x900,1440x826,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,END QUESTIONNAIRE,4347
1,1616671947483,25/03/2021 11:32:27,1616671947394,0,25/03/2021 11:32:27,47307,12,questionnaire-pgup,,11308166,5ba53688bf3b9d000152127c,3447913,,complete,,605c6289fc8d2e3ed10d88d5,computer,Desktop or Laptop,Mac OS 10.13,Firefox 87.0,1280x800,1280x635,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,BEGIN QUESTIONNAIRE,
2,1616671968540,25/03/2021 11:32:48,1616671968510,0,25/03/2021 11:32:48,47307,12,questionnaire-pgup,,11308166,5ba53688bf3b9d000152127c,3447913,,complete,,605c6289fc8d2e3ed10d88d5,computer,Desktop or Laptop,Mac OS 10.13,Firefox 87.0,1280x800,1280x635,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,END QUESTIONNAIRE,21116
1,1616671986744,25/03/2021 11:33:06,1616671988054,0,25/03/2021 11:33:08,47307,12,questionnaire-pgup,,11308192,602ab0d710c7c111e4b81763,3447782,,complete,,605c61a848105b5aa9b8c1cd,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1280x720,1280x646,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,No,BEGIN QUESTIONNAIRE,
2,1616672026283,25/03/2021 11:33:46,1616672027598,0,25/03/2021 11:33:47,47307,12,questionnaire-pgup,,11308192,602ab0d710c7c111e4b81763,3447782,,complete,,605c61a848105b5aa9b8c1cd,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1280x720,1263x646,PostDebriefCP,Debrief_Form,3,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,No,END QUESTIONNAIRE,39544
