Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,3DCorrFBText,3DIncorrFBText,Video3DView_B,Video3DView_A,Video3DView_Corr,A,B,CorrCategoryText,Video3DView,OldNew
1,1616588358514,24/03/2021 12:19:18,1616588358276,2,24/03/2021 14:19:18,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x981,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1616588361549,24/03/2021 12:19:21,1616588361340,2,24/03/2021 14:19:21,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x981,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,3D_RecogSheet_NT,1,1,1,IntroScreen,Zone2,timelimit_screen,2999.6799999999994,,,,,0,1,0,,,1,,,3DRecogIntroDisplay_TST,,,,,,,,,,,
3,1616588368836,24/03/2021 12:19:28,1616588368601,2,24/03/2021 14:19:28,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x981,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,3D_RecogSheet_NT,1,1,2,IntroScreenCont,Zone2,response_button_text,7232,,,Click to continue,1,0,1,0,,,,,,3DRecogIntroDisplay_TST,,,,,,,,,,,
4,1616588371753,24/03/2021 12:19:31,1616588371586,2,24/03/2021 14:19:31,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x981,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,3D_RecogSheet_NT,1,1,3,IntroScreen2,Zone2,timelimit_screen,2999.960000000001,,,,,0,1,0,,,1,,,3DRecogIntroDisplay_TST,,,,,,,,,,,
5,1616588380034,24/03/2021 12:19:40,1616588379802,2,24/03/2021 14:19:39,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x981,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,3D_RecogSheet_NT,1,1,4,IntroScreen2Cont,Zone2,response_button_text,8206,,,Click to start,1,0,1,0,,,,,,3DRecogIntroDisplay_TST,,,,,,,,,,,
6,1616588380487,24/03/2021 12:19:40,1616588380301,2,24/03/2021 14:19:40,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,3D_RecogSheet_NT,7,1,1,3DBlankStart,Zone1,fixation,499.3199999999997,,,,,0,1,0,,,,,1,3DRecogTrialDisplay,Click here if you were trained on the bottom item,"Correct! This is the item you were trained on, the category is:  JEWELLERY","Incorrect! This is the item you were trained on, the category is:  JEWELLERY",00678_x264.mp4,00365_x264.mp4,00678_x264.mp4,New,Old,JEWELLERY,,
7,1616588387117,24/03/2021 12:19:47,1616588386947,2,24/03/2021 14:19:46,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,3D_RecogSheet_NT,7,1,2,3DTrialScreen,Button2,response_button_text,6602,,,Click here if you were trained on the bottom item,1,1,0,0,,,,,1,3DRecogTrialDisplay,Click here if you were trained on the bottom item,"Correct! This is the item you were trained on, the category is:  JEWELLERY","Incorrect! This is the item you were trained on, the category is:  JEWELLERY",00678_x264.mp4,00365_x264.mp4,00678_x264.mp4,New,Old,JEWELLERY,,
8,1616588394125,24/03/2021 12:19:54,1616588393935,2,24/03/2021 14:19:53,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,3D_RecogSheet_NT,7,1,3,3DCorrFB,Zone2,timelimit_screen,6999.980000000003,,,,,0,1,0,,,1,,1,3DRecogTrialDisplay,Click here if you were trained on the bottom item,"Correct! This is the item you were trained on, the category is:  JEWELLERY","Incorrect! This is the item you were trained on, the category is:  JEWELLERY",00678_x264.mp4,00365_x264.mp4,00678_x264.mp4,New,Old,JEWELLERY,,
9,1616588394361,24/03/2021 12:19:54,1616588394035,2,24/03/2021 14:19:54,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,3D_RecogSheet_NT,7,1,5,3DBlankEnd,Zone1,timelimit_screen,100.05999999999767,,,,,0,1,0,,,1,,1,3DRecogTrialDisplay,Click here if you were trained on the bottom item,"Correct! This is the item you were trained on, the category is:  JEWELLERY","Incorrect! This is the item you were trained on, the category is:  JEWELLERY",00678_x264.mp4,00365_x264.mp4,00678_x264.mp4,New,Old,JEWELLERY,,
10,1616588394714,24/03/2021 12:19:54,1616588394533,2,24/03/2021 14:19:54,47307,12,task-enkl,,11272786,6005967a62740146419a703e,3437640,,complete,,605b2795619a859914bdc37f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,E2_3D_T_NT_Recog,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3D_RecogSheet_NT,3D_RecogSheet_NT,14,2,1,3DBlankStart,Zone1,fixation,498.4800000000032,,,,,0,1,0,,,,,1,3DRecogTrialDisplay,Click here if you were trained on the bottom item,"Correct! This is the item you were trained on, the category is:  TABLET","Incorrect! This is the item you were trained on, the category is:  TABLET",00040_x264.mp4,00469_x264.mp4,00040_x264.mp4,New,Old,TABLET,,
