Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1616668967575,25/03/2021 10:42:47,1616668966984,10,25/03/2021 20:42:46,47307,12,task-h1pz,,11305145,6026c634781c4f076bed6d72,3447688,,complete,,605c607fb2c475b662b0c4e3,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1920x1080,1857x983,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1616669568472,25/03/2021 10:52:48,1616669567335,10,25/03/2021 20:52:47,47307,12,task-h1pz,,11305145,6026c634781c4f076bed6d72,3447688,,complete,,605c607fb2c475b662b0c4e3,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1920x1080,1857x983,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,Spreadsheet1,1,1,1,BreakScreen1,Zone1,timelimit_screen,599999.84,,,,,0,1,0,,,1,,,BreakDisplay,
3,1616669570331,25/03/2021 10:52:50,1616669569750,10,25/03/2021 20:52:49,47307,12,task-h1pz,,11305145,6026c634781c4f076bed6d72,3447688,,complete,,605c607fb2c475b662b0c4e3,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1920x1080,1857x983,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,Spreadsheet1,1,1,2,BreakScreenCont,Zone1,response_button_text,2406,,,Click to continue,1,0,1,0,,,,,,BreakDisplay,
4,1616669570673,25/03/2021 10:52:50,1616669569764,10,25/03/2021 20:52:49,47307,12,task-h1pz,,11305145,6026c634781c4f076bed6d72,3447688,,complete,,605c607fb2c475b662b0c4e3,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1920x1080,1857x983,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,END TASK,,,,,602780,,,,,0,1,0,,,,,,,
1,1616668969282,25/03/2021 10:42:49,1616668969591,0,25/03/2021 10:42:49,47307,12,task-h1pz,,11305147,59fb1518b47dfc0001b6659b,3447660,,complete,,605c5f9fa417fcd94679d197,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1616669569394,25/03/2021 10:52:49,1616669569635,0,25/03/2021 10:52:49,47307,12,task-h1pz,,11305147,59fb1518b47dfc0001b6659b,3447660,,complete,,605c5f9fa417fcd94679d197,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,1,BreakScreen1,Zone1,timelimit_screen,599995.22,,,,,0,1,0,,,1,,,BreakDisplay,
3,1616669686364,25/03/2021 10:54:46,1616669686726,0,25/03/2021 10:54:46,47307,12,task-h1pz,,11305147,59fb1518b47dfc0001b6659b,3447660,,complete,,605c5f9fa417fcd94679d197,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,2,BreakScreenCont,Zone1,response_button_text,117079,,,Click to continue,1,0,1,0,,,,,,BreakDisplay,
4,1616669686426,25/03/2021 10:54:46,1616669686733,0,25/03/2021 10:54:46,47307,12,task-h1pz,,11305147,59fb1518b47dfc0001b6659b,3447660,,complete,,605c5f9fa417fcd94679d197,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,END TASK,,,,,717142,,,,,0,1,0,,,,,,,
1,1616669025190,25/03/2021 10:43:45,1616669024845,0,25/03/2021 10:43:44,47307,12,task-h1pz,,11305218,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1616669625317,25/03/2021 10:53:45,1616669624933,0,25/03/2021 10:53:44,47307,12,task-h1pz,,11305218,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,TenMinuteBreak,10,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,Spreadsheet1,1,1,1,BreakScreen1,Zone1,timelimit_screen,600005.96,,,,,0,1,0,,,1,,,BreakDisplay,
