Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1616666429778,25/03/2021 10:00:29,1616666429489,0,25/03/2021 10:00:29,47307,12,task-jd1t,,11302974,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616666726021,25/03/2021 10:05:26,1616666725631,11,25/03/2021 21:05:25,47307,12,task-jd1t,,11303140,5be677307514d00001084e85,3447675,,complete,,605c5eafb85c4298973f8053,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1080x720,1080x578,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667017023,25/03/2021 10:10:17,1616667016361,2,25/03/2021 12:10:16,47307,12,task-jd1t,,11303351,602b8155a5c8a32bbac81763,3447717,,complete,,605c6054285dd74717355cd0,computer,Desktop or Laptop,Windows 7,Firefox 87.0,1920x1080,1920x966,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667078503,25/03/2021 10:11:18,1616667077054,2,25/03/2021 12:11:17,47307,12,task-jd1t,,11303421,600fd3510ae5c21cb043cf8b,3447725,,complete,,605c5f1407001b9a1f8a98ba,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x722,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667185495,25/03/2021 10:13:05,1616667186103,-7,25/03/2021 03:13:06,47307,12,task-jd1t,,11303542,5efefa7e0edf450309b01441,3447777,,complete,,605c60bbd912b5d7d3252dbf,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1366x768,1366x693,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667232116,25/03/2021 10:13:52,1616667232581,2,25/03/2021 12:13:52,47307,12,task-jd1t,,11303597,604b6c5e2ea9d155393b76b1,3447787,,complete,,605c601c9be32ef976179ad0,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x722,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667372581,25/03/2021 10:16:12,1616667372044,13,25/03/2021 23:16:12,47307,12,task-jd1t,,11303714,5f51928b9cd7773e67c1f84a,3447795,,complete,,605c6072f21a45f085571cd4,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1200,1920x1058,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667411457,25/03/2021 10:16:51,1616667418161,13,25/03/2021 23:16:58,47307,12,task-jd1t,,11303766,5efd3024b3334517cc2b6b32,3447804,,complete,,605c6287b2c475b662b0c4ee,computer,Desktop or Laptop,Windows 10,Firefox 85.0,1920x1080,1920x938,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667478607,25/03/2021 10:17:58,1616667478377,13,25/03/2021 23:17:58,47307,12,task-jd1t,,11303830,5806d62a030efb00019213d8,3447821,,complete,,605c629b303812612dc4d57b,computer,Desktop or Laptop,Windows 10,Firefox 84.0,1366x768,1366x631,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667704279,25/03/2021 10:21:44,1616667704109,0,25/03/2021 10:21:44,47307,12,task-jd1t,,11304040,5ce1d945feca32001bf94623,3447876,,complete,,605c62fb0cba79009c512b77,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1366x768,1366x622,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
