Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Video3DView
1,1616666451222,25/03/2021 10:00:51,1616666450941,0,25/03/2021 10:00:50,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1616666458877,25/03/2021 10:00:58,1616666458468,0,25/03/2021 10:00:58,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,3DFamSheet_NT,1,1,1,IntroScreen,Zone2,timelimit_screen,6997.9,,,,,0,1,0,,,1,,,3DFamIntroDisplay_TST,,
3,1616666492298,25/03/2021 10:01:32,1616666492062,0,25/03/2021 10:01:32,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,3DFamSheet_NT,1,1,2,IntroScreenCont,Zone2,response_button_text,33525,,,Click to continue,1,0,1,0,,,,,,3DFamIntroDisplay_TST,,
4,1616666504303,25/03/2021 10:01:44,1616666504060,0,25/03/2021 10:01:44,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,3DFamSheet_NT,1,1,3,IntroScreen2,Zone2,timelimit_screen,12001.120000000003,,,,,0,1,0,,,1,,,3DFamIntroDisplay_TST,,
5,1616666518257,25/03/2021 10:01:58,1616666518010,0,25/03/2021 10:01:58,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,3DFamSheet_NT,1,1,4,IntroScreen2Cont,Zone2,response_button_text,13933,,,Click to continue,1,0,1,0,,,,,,3DFamIntroDisplay_TST,,
6,1616666520266,25/03/2021 10:02:00,1616666520002,0,25/03/2021 10:02:00,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,3DFamSheet_NT,1,1,5,IntroScreen2_5,Zone2,timelimit_screen,1994.62000000001,,,,,0,1,0,,,1,,,3DFamIntroDisplay_TST,,
7,1616666527747,25/03/2021 10:02:07,1616666527521,0,25/03/2021 10:02:07,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,3DFamSheet_NT,1,1,6,IntroScreen2_5Cont,Zone2,response_button_text,7488,,,Click to continue,1,0,1,0,,,,,,3DFamIntroDisplay_TST,,
8,1616666554246,25/03/2021 10:02:34,1616666554017,0,25/03/2021 10:02:34,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,3DFamSheet_NT,1,1,7,IntroScreen3Cont,Zone3,response_button_text,26466,,,Click here when you have practiced interacting with the video clip,1,0,1,0,,,,,,3DFamIntroDisplay_TST,,
9,1616666558414,25/03/2021 10:02:38,1616666557965,0,25/03/2021 10:02:37,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,3DFamSheet_NT,1,1,8,IntroFinalScreen,Zone2,response_button_text,3936,,,Click to start,1,0,1,0,,,,,,3DFamIntroDisplay_TST,,
10,1616666558695,25/03/2021 10:02:38,1616666558447,0,25/03/2021 10:02:38,47307,12,task-kpb7,,11302981,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1920x1080,PostDebriefCP,E2_3DFamiliarisation,1,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,3DFamSheet_NT,3DFamSheet_NT,8,1,1,PreTrial,fixation,fixation,498.6399999999994,,,,,0,1,0,,,,,1,3DFamTrialDisplay,,empty_20_x264.mp4
