Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Randomise questionnaire elements?,Question Key,Response
1,1616588255715,24/03/2021 12:17:35,1616588255629,0,24/03/2021 12:17:35,47307,12,questionnaire-xbvt,,11272709,601eaeeb12586834759af824,3437799,,complete,,605b262f546117985d3219a3,computer,Desktop or Laptop,Mac OS 10.10,Firefox 78.0,1920x1080,1080x890,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,BEGIN QUESTIONNAIRE,
2,1616588346816,24/03/2021 12:19:06,1616588346728,0,24/03/2021 12:19:06,47307,12,questionnaire-xbvt,,11272709,601eaeeb12586834759af824,3437799,,complete,,605b262f546117985d3219a3,computer,Desktop or Laptop,Mac OS 10.10,Firefox 78.0,1920x1080,1920x978,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,response-2,1
3,1616588346909,24/03/2021 12:19:06,1616588346730,0,24/03/2021 12:19:06,47307,12,questionnaire-xbvt,,11272709,601eaeeb12586834759af824,3437799,,complete,,605b262f546117985d3219a3,computer,Desktop or Laptop,Mac OS 10.10,Firefox 78.0,1920x1080,1920x978,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,response-3,1
4,1616588346909,24/03/2021 12:19:06,1616588346731,0,24/03/2021 12:19:06,47307,12,questionnaire-xbvt,,11272709,601eaeeb12586834759af824,3437799,,complete,,605b262f546117985d3219a3,computer,Desktop or Laptop,Mac OS 10.10,Firefox 78.0,1920x1080,1920x978,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,response-4,1
5,1616588346909,24/03/2021 12:19:06,1616588346731,0,24/03/2021 12:19:06,47307,12,questionnaire-xbvt,,11272709,601eaeeb12586834759af824,3437799,,complete,,605b262f546117985d3219a3,computer,Desktop or Laptop,Mac OS 10.10,Firefox 78.0,1920x1080,1920x978,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,response-5,1
6,1616588346909,24/03/2021 12:19:06,1616588346731,0,24/03/2021 12:19:06,47307,12,questionnaire-xbvt,,11272709,601eaeeb12586834759af824,3437799,,complete,,605b262f546117985d3219a3,computer,Desktop or Laptop,Mac OS 10.10,Firefox 78.0,1920x1080,1920x978,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,response-6,1
7,1616588346909,24/03/2021 12:19:06,1616588346731,0,24/03/2021 12:19:06,47307,12,questionnaire-xbvt,,11272709,601eaeeb12586834759af824,3437799,,complete,,605b262f546117985d3219a3,computer,Desktop or Laptop,Mac OS 10.10,Firefox 78.0,1920x1080,1920x978,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,No,END QUESTIONNAIRE,91102
1,1616666980045,25/03/2021 10:09:40,1616666978629,2,25/03/2021 12:09:38,47307,12,questionnaire-xbvt,,11303305,600fd3510ae5c21cb043cf8b,3447725,,complete,,605c5f1407001b9a1f8a98ba,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1283x672,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,No,BEGIN QUESTIONNAIRE,
2,1616667071918,25/03/2021 10:11:11,1616667070448,2,25/03/2021 12:11:10,47307,12,questionnaire-xbvt,,11303305,600fd3510ae5c21cb043cf8b,3447725,,complete,,605c5f1407001b9a1f8a98ba,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1519x722,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,No,response-2,1
3,1616667072246,25/03/2021 10:11:12,1616667070542,2,25/03/2021 12:11:10,47307,12,questionnaire-xbvt,,11303305,600fd3510ae5c21cb043cf8b,3447725,,complete,,605c5f1407001b9a1f8a98ba,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1519x722,PostDebriefCP,Info_Consent_Form,11,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,No,response-3,1
