Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1616586997037,24/03/2021 11:56:37,1616587000533,0,24/03/2021 11:56:40,47307,12,task-8w8s,,11271825,5e63cacbe43f28152567f42b,3437614,,complete,,605b26f82166be43ad65cfea,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1282x733,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1616587003647,24/03/2021 11:56:43,1616587007175,0,24/03/2021 11:56:47,47307,12,task-8w8s,,11271825,5e63cacbe43f28152567f42b,3437614,,complete,,605b26f82166be43ad65cfea,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x790,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,Spreadsheet1,1,1,1,checkScreen,script,force_advance,6616.42,,,,,0,1,0,,,,,,fullscreenCheckDisplay
3,1616587003741,24/03/2021 11:56:43,1616587007274,0,24/03/2021 11:56:47,47307,12,task-8w8s,,11271825,5e63cacbe43f28152567f42b,3437614,,complete,,605b26f82166be43ad65cfea,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x790,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,Spreadsheet1,1,1,2,checkScreenEnd,Zone1,timelimit_screen,99.97999999999956,,,,,0,1,0,,,1,,,fullscreenCheckDisplay
4,1616587003803,24/03/2021 11:56:43,1616587007281,0,24/03/2021 11:56:47,47307,12,task-8w8s,,11271825,5e63cacbe43f28152567f42b,3437614,,complete,,605b26f82166be43ad65cfea,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x790,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,END TASK,,,,,6748,,,,,0,1,0,,,,,,
1,1616587552598,24/03/2021 12:05:52,1616587552500,0,24/03/2021 12:05:52,47307,12,task-8w8s,,11272187,5c277df7015a5b00018527c1,3437688,,complete,,605b2a337118fee1b484609d,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1440x900,1280x692,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1616587570007,24/03/2021 12:06:10,1616587569927,0,24/03/2021 12:06:09,47307,12,task-8w8s,,11272187,5c277df7015a5b00018527c1,3437688,,complete,,605b2a337118fee1b484609d,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1440x900,1280x692,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,1,checkScreen,script,force_advance,17421.84,,,,,0,1,0,,,,,,fullscreenCheckDisplay
3,1616587570117,24/03/2021 12:06:10,1616587570028,0,24/03/2021 12:06:10,47307,12,task-8w8s,,11272187,5c277df7015a5b00018527c1,3437688,,complete,,605b2a337118fee1b484609d,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1440x900,1280x692,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,Spreadsheet1,1,1,2,checkScreenEnd,Zone1,timelimit_screen,101.63999999999942,,,,,0,1,0,,,1,,,fullscreenCheckDisplay
4,1616587570117,24/03/2021 12:06:10,1616587570030,0,24/03/2021 12:06:10,47307,12,task-8w8s,,11272187,5c277df7015a5b00018527c1,3437688,,complete,,605b2a337118fee1b484609d,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1440x900,1280x692,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,END TASK,,,,,17530,,,,,0,1,0,,,,,,
1,1616666431627,25/03/2021 10:00:31,1616666431279,0,25/03/2021 10:00:31,47307,12,task-8w8s,,11302976,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1616666449283,25/03/2021 10:00:49,1616666449045,0,25/03/2021 10:00:49,47307,12,task-8w8s,,11302976,56ea824126bcc7000bcd6449,3447635,,complete,,605c5ef61bfbebedf9f2f067,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1920x1080,1919x1006,PostDebriefCP,fullscreenCheck,6,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,Spreadsheet1,1,1,1,checkScreen,script,force_advance,17735.739999999998,,,,,0,1,0,,,,,,fullscreenCheckDisplay
